epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.8476,3.11967,0.42637,0.75178,2.62165,0.000109539,0.000109539,0.000109539
2,23.2213,2.04832,0.8361,0.94656,0.99679,0.000213262,0.000213262,0.000213262
3,34.8715,0.77299,0.94893,0.99406,0.29144,0.000309658,0.000309658,0.000309658
4,46.0307,0.27501,0.96556,0.99762,0.2123,0.000300033,0.000300033,0.000300033
5,57.3787,0.18057,0.96912,1,0.18745,0.000289044,0.000289044,0.000289044
6,68.8892,0.14188,0.96912,1,0.20331,0.000278055,0.000278055,0.000278055
7,79.9854,0.11131,0.97387,1,0.20237,0.000267066,0.000267066,0.000267066
8,91.3559,0.08792,0.97506,1,0.19273,0.000256077,0.000256077,0.000256077
9,102.599,0.09742,0.97387,1,0.18766,0.000245088,0.000245088,0.000245088
10,114.093,0.08734,0.97387,1,0.19386,0.000234099,0.000234099,0.000234099
11,125.22,0.0775,0.9715,1,0.20177,0.00022311,0.00022311,0.00022311
12,136.574,0.06025,0.97387,1,0.24855,0.000212121,0.000212121,0.000212121
13,149.399,0.06462,0.97506,1,0.19449,0.000201132,0.000201132,0.000201132
14,161.318,0.04954,0.97506,1,0.19498,0.000190143,0.000190143,0.000190143
15,172.564,0.05185,0.97625,1,0.19053,0.000179154,0.000179154,0.000179154
16,183.621,0.04327,0.97625,1,0.16289,0.000168165,0.000168165,0.000168165
17,194.794,0.05657,0.97625,1,0.28096,0.000157176,0.000157176,0.000157176
18,206.013,0.05355,0.97625,1,0.20223,0.000146187,0.000146187,0.000146187
19,216.984,0.04663,0.97625,0.99881,0.19132,0.000135198,0.000135198,0.000135198
20,228.516,0.04614,0.97625,0.99762,0.18794,0.000124209,0.000124209,0.000124209
21,241.225,0.0403,0.97506,0.981,0.26313,0.00011322,0.00011322,0.00011322
22,252.277,0.04361,0.97625,0.99881,0.19465,0.000102231,0.000102231,0.000102231
23,263.376,0.03944,0.97506,1,0.18919,9.1242e-05,9.1242e-05,9.1242e-05
24,274.298,0.04066,0.97506,1,0.25707,8.0253e-05,8.0253e-05,8.0253e-05
25,285.509,0.03196,0.97625,1,0.20277,6.9264e-05,6.9264e-05,6.9264e-05
26,296.715,0.0377,0.97625,1,0.19781,5.8275e-05,5.8275e-05,5.8275e-05
27,307.849,0.03035,0.97625,1,0.2056,4.7286e-05,4.7286e-05,4.7286e-05
28,318.822,0.02373,0.97625,1,0.20015,3.6297e-05,3.6297e-05,3.6297e-05
29,330.022,0.03378,0.97625,1,0.20043,2.5308e-05,2.5308e-05,2.5308e-05
30,341.216,0.03055,0.97625,1,0.20397,1.4319e-05,1.4319e-05,1.4319e-05
